City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,cambria,35.5641,-121.0808,14.3,99,100,1.79,US,1703920803
343,cabo san lucas,22.8909,-109.9124,19.86,68,0,1.63,MX,1703920803
344,usogorsk,63.4106,48.6872,-18.52,99,100,1.7,RU,1703920804
345,puyang chengguanzhen,35.7028,115.0053,7.56,65,0,3.64,CN,1703920804
346,whakatane,-37.9585,176.9854,23.27,94,2,1.34,NZ,1703920805
347,chibougamau,49.9168,-74.3659,-10.21,85,100,3.6,CA,1703920805
348,malakanagiri,18.35,81.9,30.33,33,9,1.17,IN,1703920805
349,son la,21.3167,103.9,26.48,39,28,0.78,VN,1703920520
350,new norfolk,-42.7826,147.0587,17.18,50,86,4.24,AU,1703920806
351,murraysville,34.2957,-77.8475,4.98,77,0,4.63,US,1703920806
352,bandar,2.05,99.75,26.01,93,100,1.1,ID,1703920808
353,rocha,-34.4833,-54.3333,12.73,61,3,3.73,UY,1703920808
354,cumberland,35.0502,-78.8664,3.28,79,0,3.09,US,1703920394
355,new plymouth,-39.0667,174.0833,19.89,95,100,3.25,NZ,1703920572
356,carnarvon,-24.8667,113.6333,25.28,65,77,7.1,AU,1703920809
357,kourou,5.1552,-52.6478,25.03,91,75,2.7,GF,1703920810
358,haiku-pauwela,20.9219,-156.3051,21.69,80,20,5.14,US,1703920810
359,mizdah,31.4451,12.9801,8.44,62,8,1.73,LY,1703920810
360,ambagarh chauki,20.7833,80.7167,28.13,31,0,1.68,IN,1703920811
